,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
25,data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.179.jpg,Bean Rust,Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.295.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.42.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.166.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.322.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.307.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.14.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.267.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.284.jpg']","['Bean Rust', 'Bean Rust', 'Healthy', 'Angular Leaf Spot', 'Healthy', 'Healthy', 'Bean Rust', 'Angular Leaf Spot']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.334.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.22.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.289.jpg']","['Healthy', 'Angular Leaf Spot', 'Angular Leaf Spot', 'Angular Leaf Spot']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.99.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.17.jpg']","['Angular Leaf Spot', 'Angular Leaf Spot']",Angular Leaf Spot,['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.322.jpg'],['Angular Leaf Spot'],Angular Leaf Spot,[],[]
26,data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.202.jpg,Angular Leaf Spot,Bean Rust,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.113.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.166.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.146.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.174.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.204.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.6.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.14.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.185.jpg']","['Bean Rust', 'Angular Leaf Spot', 'Healthy', 'Healthy', 'Healthy', 'Healthy', 'Bean Rust', 'Bean Rust']",Bean Rust,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.174.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.179.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.269.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.116.jpg']","['Healthy', 'Bean Rust', 'Healthy', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.185.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.65.jpg']","['Healthy', 'Bean Rust']",Bean Rust,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.4.jpg'],['Bean Rust'],Angular Leaf Spot,[],[]
27,data/bean-leaf-lesions-classification/train/Healthy/healthy_train.227.jpg,Healthy,Healthy,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.42.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.36.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.293.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.237.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.114.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.141.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.33.jpg']","['Bean Rust', 'Angular Leaf Spot', 'Bean Rust', 'Healthy', 'Angular Leaf Spot', 'Healthy', 'Angular Leaf Spot', 'Angular Leaf Spot']",Bean Rust,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.14.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.202.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.130.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.65.jpg']","['Bean Rust', 'Angular Leaf Spot', 'Bean Rust', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.292.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.195.jpg']","['Bean Rust', 'Healthy']",Healthy,['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg'],['Healthy'],Bean Rust,[],[]
28,data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.121.jpg,Angular Leaf Spot,Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.47.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.241.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.247.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.267.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.185.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.314.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.17.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.159.jpg']","['Angular Leaf Spot', 'Bean Rust', 'Bean Rust', 'Bean Rust', 'Bean Rust', 'Angular Leaf Spot', 'Angular Leaf Spot', 'Bean Rust']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.176.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.203.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.198.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.4.jpg']","['Bean Rust', 'Angular Leaf Spot', 'Healthy', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.182.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg']","['Healthy', 'Healthy']",Bean Rust,['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg'],['Healthy'],Healthy,[],[]
29,data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.167.jpg,Bean Rust,Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.8.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.244.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.189.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.187.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.344.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.3.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.13.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.185.jpg']","['Angular Leaf Spot', 'Bean Rust', 'Healthy', 'Bean Rust', 'Angular Leaf Spot', 'Bean Rust', 'Healthy', 'Angular Leaf Spot']",Bean Rust,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.169.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.295.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.34.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.3.jpg']","['Healthy', 'Bean Rust', 'Bean Rust', 'Bean Rust']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.92.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.4.jpg']","['Angular Leaf Spot', 'Bean Rust']",Healthy,['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.22.jpg'],['Angular Leaf Spot'],Angular Leaf Spot,[],[]
30,data/bean-leaf-lesions-classification/train/Healthy/healthy_train.14.jpg,Healthy,Healthy,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.93.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.284.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.146.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.306.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.1.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.198.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.166.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.92.jpg']","['Healthy', 'Angular Leaf Spot', 'Healthy', 'Healthy', 'Healthy', 'Healthy', 'Healthy', 'Angular Leaf Spot']",Healthy,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.203.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.159.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.80.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.344.jpg']","['Angular Leaf Spot', 'Bean Rust', 'Angular Leaf Spot', 'Angular Leaf Spot']",Healthy,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.34.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.166.jpg']","['Bean Rust', 'Healthy']",Bean Rust,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.167.jpg'],['Bean Rust'],Healthy,[],[]
31,data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.137.jpg,Angular Leaf Spot,Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.182.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.130.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.176.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.203.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.113.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.121.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.303.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.273.jpg']","['Healthy', 'Bean Rust', 'Bean Rust', 'Angular Leaf Spot', 'Healthy', 'Angular Leaf Spot', 'Bean Rust', 'Healthy']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.204.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.227.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.284.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.173.jpg']","['Healthy', 'Healthy', 'Angular Leaf Spot', 'Angular Leaf Spot']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.227.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.185.jpg']","['Healthy', 'Angular Leaf Spot']",Angular Leaf Spot,['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg'],['Healthy'],Angular Leaf Spot,[],[]
32,data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.168.jpg,Angular Leaf Spot,Healthy,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.173.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.334.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.167.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.195.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.47.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.99.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.179.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.11.jpg']","['Angular Leaf Spot', 'Angular Leaf Spot', 'Bean Rust', 'Bean Rust', 'Angular Leaf Spot', 'Angular Leaf Spot', 'Bean Rust', 'Healthy']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.47.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.307.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.34.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.237.jpg']","['Angular Leaf Spot', 'Healthy', 'Bean Rust', 'Angular Leaf Spot']",Bean Rust,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.267.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.99.jpg']","['Bean Rust', 'Angular Leaf Spot']",Angular Leaf Spot,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.247.jpg'],['Bean Rust'],Healthy,[],[]
33,data/bean-leaf-lesions-classification/train/Healthy/healthy_train.210.jpg,Healthy,Healthy,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.162.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.192.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.14.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.337.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.17.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.22.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.295.jpg']","['Healthy', 'Healthy', 'Healthy', 'Bean Rust', 'Healthy', 'Angular Leaf Spot', 'Angular Leaf Spot', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.297.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.93.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.169.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg']","['Angular Leaf Spot', 'Healthy', 'Healthy', 'Healthy']",Healthy,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.344.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.92.jpg']","['Angular Leaf Spot', 'Angular Leaf Spot']",,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.176.jpg'],['Bean Rust'],Healthy,[],[]
34,data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.8.jpg,Angular Leaf Spot,Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.293.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.174.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.189.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.307.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.292.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.12.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.227.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.80.jpg']","['Bean Rust', 'Healthy', 'Healthy', 'Healthy', 'Bean Rust', 'Angular Leaf Spot', 'Healthy', 'Angular Leaf Spot']",Bean Rust,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.4.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.198.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.14.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.13.jpg']","['Bean Rust', 'Healthy', 'Bean Rust', 'Healthy']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.335.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.344.jpg']","['Healthy', 'Angular Leaf Spot']",Healthy,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.303.jpg'],['Bean Rust'],Angular Leaf Spot,[],[]
35,data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.342.jpg,Bean Rust,,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.36.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.8.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.17.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.306.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.113.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.295.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.185.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.176.jpg']","['Angular Leaf Spot', 'Angular Leaf Spot', 'Angular Leaf Spot', 'Healthy', 'Bean Rust', 'Bean Rust', 'Healthy', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.344.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.1.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.297.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.10.jpg']","['Angular Leaf Spot', 'Healthy', 'Angular Leaf Spot', 'Bean Rust']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.182.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.334.jpg']","['Healthy', 'Angular Leaf Spot']",Healthy,['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.322.jpg'],['Angular Leaf Spot'],Angular Leaf Spot,[],[]
36,data/bean-leaf-lesions-classification/train/Healthy/healthy_train.273.jpg,Healthy,Healthy,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.1.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.6.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.306.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.93.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.22.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.161.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.130.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.169.jpg']","['Healthy', 'Healthy', 'Healthy', 'Healthy', 'Angular Leaf Spot', 'Bean Rust', 'Bean Rust', 'Healthy']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.11.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.3.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.195.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.1.jpg']","['Healthy', 'Bean Rust', 'Healthy', 'Healthy']",Bean Rust,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.337.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.176.jpg']","['Healthy', 'Bean Rust']",Healthy,['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg'],['Healthy'],Healthy,[],[]
37,data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.195.jpg,Bean Rust,Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.334.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.127.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.162.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.116.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.47.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.113.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.314.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.173.jpg']","['Angular Leaf Spot', 'Bean Rust', 'Healthy', 'Bean Rust', 'Angular Leaf Spot', 'Healthy', 'Angular Leaf Spot', 'Angular Leaf Spot']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.337.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.322.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.168.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.94.jpg']","['Healthy', 'Angular Leaf Spot', 'Angular Leaf Spot', 'Angular Leaf Spot']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.168.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.5.jpg']","['Angular Leaf Spot', 'Bean Rust']",,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.5.jpg'],['Bean Rust'],Angular Leaf Spot,[],[]
38,data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.38.jpg,Angular Leaf Spot,Healthy,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.187.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.204.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.232.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.167.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.114.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.195.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.13.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.267.jpg']","['Bean Rust', 'Healthy', 'Bean Rust', 'Bean Rust', 'Healthy', 'Angular Leaf Spot', 'Healthy', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.3.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.65.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.210.jpg']","['Bean Rust', 'Healthy', 'Bean Rust', 'Healthy']",Angular Leaf Spot,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.202.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.137.jpg']","['Angular Leaf Spot', 'Angular Leaf Spot']",Bean Rust,['data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.113.jpg'],['Bean Rust'],Healthy,[],[]
39,data/bean-leaf-lesions-classification/train/Healthy/healthy_train.147.jpg,Healthy,,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.227.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.174.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.295.jpg', 'data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.185.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.3.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.159.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.93.jpg']","['Healthy', 'Healthy', 'Healthy', 'Bean Rust', 'Angular Leaf Spot', 'Bean Rust', 'Bean Rust', 'Healthy']",Healthy,"['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.185.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.244.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.185.jpg', 'data/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.293.jpg']","['Angular Leaf Spot', 'Bean Rust', 'Bean Rust', 'Bean Rust']",Healthy,"['data/bean-leaf-lesions-classification/train/Healthy/healthy_train.269.jpg', 'data/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg']","['Healthy', 'Healthy']",Healthy,['data/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.47.jpg'],['Angular Leaf Spot'],Angular Leaf Spot,[],[]
