,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
30,data/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg,Severe Tungro,Severe Tungro,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG']","['Mild Bacterial Blight', 'Severe Tungro', 'Mild Blast', 'Mild Tungro', 'Severe Brownspot', 'Mild Bacterial Blight', 'Severe Bacterial Blight', 'Mild Tungro']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg']","['Severe Brownspot', 'Severe Tungro', 'Severe Bacterial Blight', 'Severe Brownspot']",,,,,,,Mild Brownspot,[],[]
31,data/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg,Mild Blast,,,,Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg']","['Severe Bacterial Blight', 'Mild Bacterial Blight', 'Mild Brownspot', 'Mild Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg']","['Severe Tungro', 'Mild Brownspot']",Mild Brownspot,['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG'],['Severe Bacterial Blight'],Mild Brownspot,[],[]
32,data/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg,Mild Blast,,,,,,,,,,Mild Brownspot,['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg'],['Severe Tungro'],Mild Brownspot,[],[]
33,data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg,Severe Tungro,Severe Tungro,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_053.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_045.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG']","['Mild Brownspot', 'Mild Bacterial Blight', 'Severe Blast', 'Severe Blast', 'Severe Tungro', 'Severe Tungro', 'Mild Brownspot', 'Severe Bacterial Blight']",,,,,,,,,,,,
34,data/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg,Healthy,Healthy,"['data/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_237.JPG']","['Severe Blast', 'Severe Bacterial Blight', 'Mild Brownspot', 'Severe Bacterial Blight', 'Severe Bacterial Blight', 'Severe Bacterial Blight', 'Healthy', 'Severe Bacterial Blight']",Healthy,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_237.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg']","['Severe Bacterial Blight', 'Severe Brownspot', 'Healthy', 'Mild Brownspot']",Healthy,"['data/severity-based-rice-disease/train/Healthy/IMG_20190420_190039.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg']","['Healthy', 'Mild Brownspot']",Healthy,['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG'],['Mild Tungro'],Healthy,[],[]
35,data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG,Mild Tungro,,,,,,,Mild Bacterial Blight,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg']","['Mild Bacterial Blight', 'Mild Bacterial Blight']",,,,Mild Brownspot,[],[]
36,data/severity-based-rice-disease/train/Severe Blast/BLAST1_096.jpg,Severe Blast,Severe Brownspot,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT2_262.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg']","['Severe Bacterial Blight', 'Severe Bacterial Blight', 'Mild Bacterial Blight', 'Mild Bacterial Blight', 'Severe Brownspot', 'Healthy', 'Severe Tungro', 'Severe Brownspot']",Severe Blast,"['data/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg']","['Severe Blast', 'Mild Bacterial Blight', 'Mild Tungro', 'Mild Blast']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg']","['Mild Bacterial Blight', 'Severe Bacterial Blight']",Mild Brownspot,['data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg'],['Mild Brownspot'],Mild Brownspot,[],[]
37,data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg,Mild Brownspot,Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg']","['Severe Brownspot', 'Severe Tungro', 'Severe Brownspot', 'Mild Blast', 'Severe Bacterial Blight', 'Mild Bacterial Blight', 'Mild Bacterial Blight', 'Healthy']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg']","['Severe Brownspot', 'Healthy', 'Severe Bacterial Blight', 'Mild Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG']","['Severe Blast', 'Mild Tungro']",Mild Brownspot,['data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg'],['Healthy'],Mild Brownspot,[],[]
38,data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg,Mild Bacterial Blight,Severe Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg']","['Mild Bacterial Blight', 'Severe Bacterial Blight', 'Mild Bacterial Blight', 'Healthy', 'Mild Blast', 'Mild Brownspot', 'Mild Bacterial Blight', 'Mild Blast']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg']","['Mild Brownspot', 'Severe Bacterial Blight', 'Severe Tungro', 'Mild Blast']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg']","['Severe Blast', 'Mild Blast']",,,,Mild Brownspot,[],[]
39,data/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg,Severe Blast,,,,Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_089.jpg']","['Mild Blast', 'Mild Tungro', 'Mild Bacterial Blight', 'Mild Blast']",,,,Mild Brownspot,['data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg'],['Mild Brownspot'],Mild Brownspot,[],[]
40,data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg,Mild Brownspot,Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg']","['Severe Brownspot', 'Severe Bacterial Blight', 'Severe Tungro', 'Mild Brownspot', 'Severe Blast', 'Severe Brownspot', 'Severe Bacterial Blight', 'Mild Bacterial Blight']",,,,Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_054.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_129.jpg']","['Mild Bacterial Blight', 'Severe Brownspot']",Mild Brownspot,['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg'],['Mild Brownspot'],Mild Brownspot,[],[]
41,data/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg,Healthy,Healthy,"['data/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_103.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg']","['Healthy', 'Mild Tungro', 'Severe Blast', 'Severe Tungro', 'Severe Tungro', 'Mild Bacterial Blight', 'Mild Brownspot', 'Severe Blast']",Healthy,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG']","['Severe Tungro', 'Mild Brownspot', 'Severe Blast', 'Severe Tungro']",Healthy,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg']","['Mild Bacterial Blight', 'Healthy']",Healthy,['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg'],['Severe Brownspot'],Healthy,[],[]
42,data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG,Severe Bacterial Blight,Severe Brownspot,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg']","['Mild Tungro', 'Mild Bacterial Blight', 'Mild Tungro', 'Mild Blast', 'Mild Blast', 'Mild Bacterial Blight', 'Severe Bacterial Blight', 'Mild Brownspot']",Severe Brownspot,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg']","['Severe Bacterial Blight', 'Severe Blast', 'Severe Bacterial Blight', 'Mild Blast']",Severe Brownspot,"['data/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg']","['Severe Blast', 'Severe Tungro']",Severe Brownspot,['data/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg'],['Severe Blast'],Severe Brownspot,[],[]
43,data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg,Mild Blast,Severe Brownspot,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_101.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg']","['Mild Tungro', 'Mild Tungro', 'Severe Brownspot', 'Mild Bacterial Blight', 'Mild Tungro', 'Severe Blast', 'Mild Bacterial Blight', 'Severe Tungro']",,,,Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg']","['Severe Tungro', 'Severe Brownspot']",,,,Mild Brownspot,[],[]
44,data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg,Mild Bacterial Blight,,,,Severe Blast,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST4_049.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG']","['Severe Tungro', 'Severe Blast', 'Mild Brownspot', 'Mild Tungro']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG']","['Mild Blast', 'Severe Tungro']",Mild Brownspot,['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg'],['Severe Brownspot'],Mild Brownspot,[],[]
45,data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_034.jpg,Severe Brownspot,Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg']","['Severe Brownspot', 'Severe Bacterial Blight', 'Mild Bacterial Blight', 'Severe Bacterial Blight', 'Healthy', 'Severe Brownspot', 'Mild Brownspot', 'Severe Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg']","['Mild Bacterial Blight', 'Mild Bacterial Blight', 'Mild Brownspot', 'Healthy']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg']","['Mild Bacterial Blight', 'Mild Blast']",Mild Brownspot,['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg'],['Severe Tungro'],Mild Brownspot,[],[]
46,data/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg,Mild Blast,,,,Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg']","['Mild Blast', 'Mild Tungro', 'Mild Bacterial Blight', 'Severe Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg']","['Severe Brownspot', 'Severe Blast']",Mild Brownspot,['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_129.jpg'],['Severe Brownspot'],Mild Brownspot,[],[]
47,data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_125.JPG,Mild Tungro,,,,,,,,,,Mild Bacterial Blight,['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg'],['Mild Bacterial Blight'],,,
48,data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg,Mild Bacterial Blight,Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Blast/BLAST1_066.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_072.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_237.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg']","['Mild Blast', 'Severe Tungro', 'Severe Bacterial Blight', 'Mild Brownspot', 'Mild Tungro', 'Severe Tungro', 'Mild Bacterial Blight', 'Healthy']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG']","['Mild Brownspot', 'Mild Blast', 'Mild Brownspot', 'Mild Tungro']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg']","['Mild Brownspot', 'Healthy']",,,,Mild Brownspot,[],[]
49,data/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg,Mild Blast,Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST1_066.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg']","['Severe Brownspot', 'Severe Tungro', 'Healthy', 'Severe Bacterial Blight', 'Severe Brownspot', 'Mild Blast', 'Healthy', 'Mild Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg']","['Severe Brownspot', 'Severe Tungro', 'Severe Brownspot', 'Mild Bacterial Blight']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_101.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG']","['Mild Tungro', 'Severe Bacterial Blight']",,,,Mild Brownspot,[],[]
50,data/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg,Healthy,Healthy,"['data/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_129.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_082.jpg']","['Mild Blast', 'Mild Brownspot', 'Healthy', 'Severe Brownspot', 'Severe Bacterial Blight', 'Mild Blast', 'Severe Brownspot', 'Mild Blast']",Healthy,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_072.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg']","['Mild Brownspot', 'Severe Tungro', 'Severe Bacterial Blight', 'Healthy']",,,,,,,Healthy,[],[]
